locationID,mID
1,1486192
,13676256
2,0779982
3,0110725
4,0067589
3,0060153
5,0118928
6,0120906
,0410595
7,1205537
,8651604
3,0059678
8,0780485
3,2314824
9,0094025
,15781790
10,0268094
,1117392
,6638042
,0156887
3,0088850
11,4697290
3,0105810
,6586344
12,0331933
13,7298596
4,0100685
7,0086287
14,6044910
12,6098546
,0332318
,7069178
8,13966962
,11525390
15,0069956
12,0086979
16,15141288
3,2334873
3,0477139
9,0383153
,6818880
7,10022384
17,12618926
,10023172
4,0070672
3,5095030
18,2717822
19,0119217
9,9728962
,0187330
12,0089470
20,0425430
21,0053666
,8242058
22,0086011
,0078780
3,0036775
,4595412
,11605032
,10192704
23,7914938
3,0089695
19,0084133
24,0493464
4,6053438
3,2262315
3,6018502
,14140886
25,0048960
,6851410
26,2319739
,9303756
27,0065889
28,0078417
3,3654796
,4963986
29,0762073
3,0217756
,8141808
3,8433210
30,0118617
,0203237
3,11697484
3,15837600
31,6547786
32,0109219
,0163467
33,9563140
3,0027300
34,4943218
35,0762114
7,0038924
36,0080764
37,0080139
38,0102975
3,7664504
,8236336
39,0113114
4,0087817
10,0066578
40,0091810
3,4000870
3,0465375
3,9413018
9,5774450
7,0090669
41,8367084
3,13924926
10,0107473
9,1706680
36,7798604
22,0111503
9,16374856
,5822848
42,5827916
,9283920
43,0452608
,12246190
44,1743281
,15229966
45,6910006
,6089700
,10798660
3,0042367
46,0072288
,0093170
4,5776468
7,3458254
47,0089013
48,5311542
49,7991608
3,0102510
50,0095647
3,0118900
7,0066993
,5164184
7,1727816
3,0106469
9,0454082
7,0101143
,10925572
51,0161292
52,0044386
4,0088680
53,0094625
,8801454
7,1235189
54,3864056
55,0763840
56,1373156
,1805647
57,0331953
,12048276
58,1407061
,0080461
7,0086659
3,0060831
7,1966385
4,3212608
36,1596363
4,1015471
59,0084997
60,0103962
50,0090888
27,0074291
,18071320
4,0066195
61,0102383
,0067280
62,0203119
,6895284
63,0089338
36,0995845
4,0093748
64,0097162
65,12279642
3,0090633
53,10478562
3,3138558
3,0185371
41,0366627
66,0089964
,9073746
37,4136456
3,0018037
3,0036391
3,3339674
67,0119843
68,0062886
69,5807628
19,0112508
,8328740
68,0337764
70,0110857
22,1194417
,2350892
71,7052494
72,0053232
7,0117631
36,1217613
,12594678
73,4034228
74,1152758
75,9174578
,6205872
68,0273982
,3105422
,7129636
39,0098471
57,0120569
76,4648786
22,0115685
,15169492
7,1319694
77,2112210
68,0118178
78,0060522
,11351236
,13642264
4,1620981
79,0097444
80,0920448
,10899402
,7521898
19,2866708
,4321306
81,9086228
82,1895315
,0031405
3,2461172
83,3859304
,9169636
3,9653068
7,0119404
47,13846414
3,0112466
3,0107870
,14533820
84,0057813
85,0317740
86,6409762
87,1139797
3,7653254
9,0418131
,7377132
3,0080365
27,0088100
3,0103239
,7826034
88,1519461
3,1928330
89,5598292
90,8267604
,0080419
3,0131857
16,0318081
91,10199590
3,0027260
7,0964587
,4442758
,0113416
3,0312528
29,6904272
7,0271295
37,0069895
3,0093624
92,0050858
4,0935075
71,5022702
3,4154664
3,0035211
7,0286788
7,0063946
,13612448
93,4773054
94,0449467
,5302168
3,0107711
30,0109890
7,0094074
,10449370
,5795154
,3208802
,8936944
30,0826593
7,0090357
,17024632
95,0365847
83,2837574
,0169473
96,2122313
9,4210080
,10986050
97,10944486
3,0102460
98,2326204
99,5540188
19,2923316
8,0210945
100,12399056
101,1440728
,11283014
102,11138512
103,11343494
,0293416
